,cash
0,200.0
1,200.0
2,190.0
3,190.0
4,190.0
5,190.0
6,180.0
7,180.0
8,180.0
9,180.0
10,175.0
11,175.0
12,175.0
13,155.0
14,155.0
15,155.0
16,155.0
17,135.0
18,115.0
19,115.0
20,130.0
21,110.0
22,100.0
23,80.0
24,60.0
25,50.0
26,40.0
27,20.0
28,115.0
29,110.0
30,105.0
31,95.0
32,75.0
33,55.0
34,15.0
35,5.0
36,15.0
37,60.0
38,60.0
39,60.0
40,60.0
41,60.0
42,50.0
43,50.0
44,40.0
45,20.0
46,215.0
47,215.0
48,215.0
49,215.0
50,215.0
51,215.0
52,215.0
53,200.0
54,200.0
55,200.0
56,200.0
57,190.0
58,190.0
59,210.0
60,210.0
61,210.0
62,210.0
63,210.0
64,210.0
65,210.0
66,200.0
67,200.0
68,190.0
69,190.0
70,230.0
71,230.0
72,230.0
73,230.0
74,230.0
75,230.0
76,230.0
77,220.0
78,220.0
79,210.0
80,190.0
81,310.0
82,310.0
83,310.0
84,310.0
85,310.0
86,310.0
87,310.0
88,290.0
89,280.0
90,260.0
91,405.0
92,400.0
93,200.0
94,200.0
95,190.0
96,190.0
97,180.0
98,160.0
99,360.0
100,360.0
101,350.0
102,350.0
103,340.0
104,330.0
105,330.0
106,320.0
107,310.0
108,290.0
109,385.0
110,365.0
111,355.0
112,335.0
113,535.0
114,515.0
115,505.0
116,485.0
117,465.0
118,445.0
119,435.0
120,415.0
121,550.0
122,530.0
123,510.0
124,500.0
125,480.0
126,440.0
127,480.0
128,460.0
129,455.0
130,440.0
131,430.0
132,410.0
133,370.0
134,370.0
135,350.0
136,340.0
137,320.0
138,495.0
139,475.0
140,465.0
141,460.0
142,440.0
143,430.0
144,410.0
145,570.0
146,550.0
147,550.0
148,530.0
149,580.0
150,560.0
151,550.0
152,530.0
153,660.0
154,660.0
155,660.0
156,640.0
157,600.0
158,555.0
159,530.0
160,520.0
161,510.0
162,490.0
163,490.0
164,460.0
165,450.0
166,430.0
167,410.0
168,715.0
169,695.0
170,685.0
171,665.0
172,820.0
173,800.0
174,790.0
175,770.0
176,895.0
177,880.0
178,870.0
179,850.0
180,960.0
181,940.0
182,930.0
183,910.0
184,1035.0
185,1015.0
186,1005.0
187,985.0
188,1150.0
189,1130.0
190,1120.0
191,1100.0
192,1080.0
193,1055.0
194,1045.0
195,1035.0
196,1015.0
197,195.0
198,210.0
199,190.0
200,180.0
201,160.0
202,325.0
203,305.0
204,295.0
205,275.0
206,235.0
207,195.0
208,175.0
209,165.0
210,145.0
211,315.0
212,295.0
213,350.0
214,330.0
215,320.0
216,300.0
217,465.0
218,445.0
219,435.0
220,415.0
221,585.0
222,565.0
223,555.0
224,535.0
225,710.0
226,690.0
227,680.0
228,670.0
229,660.0
230,640.0
231,690.0
232,670.0
233,660.0
234,650.0
235,630.0
236,722.5
237,707.5
238,697.5
239,677.5
240,947.5
241,927.5
242,927.5
243,907.5
244,957.5
245,937.5
246,927.5
247,907.5
248,1112.5
249,1092.5
250,1082.5
251,1062.5
252,1022.5
253,1002.5
254,982.5
255,962.5
256,942.5
257,932.5
258,922.5
259,902.5
260,902.5
261,882.5
262,872.5
263,852.5
264,832.5
265,812.5
266,772.5
267,752.5
268,732.5
269,722.5
270,702.5
271,662.5
272,622.5
273,612.5
274,602.5
275,582.5
276,682.5
277,667.5
278,657.5
279,647.5
280,627.5
281,780.0
282,760.0
283,750.0
284,730.0
285,865.0
286,845.0
287,835.0
288,825.0
289,805.0
290,895.0
291,875.0
292,865.0
293,845.0
294,950.0
295,935.0
296,925.0
297,905.0
298,1015.0
299,995.0
300,985.0
301,965.0
302,965.0
303,945.0
304,935.0
305,915.0
306,1065.0
307,1045.0
308,1025.0
309,1015.0
310,975.0
311,1225.0
312,1210.0
313,1200.0
314,1180.0
315,1300.0
316,1280.0
317,1270.0
318,200.0
319,180.0
320,170.0
321,150.0
322,130.0
323,130.0
324,110.0
325,175.0
326,155.0
327,145.0
328,125.0
329,260.0
330,240.0
331,315.0
332,295.0
333,285.0
334,265.0
335,435.0
336,425.0
337,415.0
338,395.0
339,495.0
340,480.0
341,470.0
342,450.0
343,430.0
344,430.0
345,430.0
346,410.0
347,400.0
348,380.0
349,560.0
350,540.0
351,530.0
352,510.0
353,670.0
354,650.0
355,640.0
356,640.0
357,740.0
358,720.0
359,795.0
360,775.0
361,765.0
362,745.0
363,910.0
364,890.0
365,960.0
366,940.0
367,920.0
368,910.0
369,890.0
370,870.0
371,905.0
372,890.0
373,880.0
374,880.0
375,860.0
376,820.0
377,820.0
378,790.0
379,867.5
380,837.5
381,827.5
382,817.5
383,777.5
384,737.5
385,737.5
386,717.5
387,792.5
388,772.5
389,762.5
390,742.5
391,852.5
392,832.5
393,822.5
394,802.5
395,762.5
396,957.5
397,947.5
398,937.5
399,917.5
400,1017.5
401,1002.5
402,992.5
403,972.5
404,952.5
405,967.5
406,947.5
407,947.5
408,927.5
409,1022.5
410,1027.5
411,1017.5
412,1007.5
413,987.5
414,1137.5
415,1122.5
416,1112.5
417,1092.5
418,1252.5
419,1267.5
420,1247.5
421,200.0
422,180.0
423,170.0
424,150.0
425,150.0
426,120.0
427,110.0
428,100.0
429,100.0
430,80.0
431,70.0
432,50.0
433,10.0
434,200.0
435,170.0
436,170.0
437,150.0
