,AgentDQN,AgentDQN_ste,AgentD,AgentD_ste,depth,novelty,expt
0,185.13,31.56,201.98,4.5,0,,1
1,172.11475000000002,39.22689815940166,211.39133928571428,4.8972190847305335,1,agent.AddAgentConservative_seed38,1
2,181.8435,39.86740398468212,209.99994642857143,5.10177730068998,2,agent.AddAgentConservative+card.CardDistOdd_seed38,1
3,138.03125,27.10890242128129,212.0133571428572,3.81644061604284,3,agent.AddAgentConservative+card.CardDistOdd+game_element.TournamentLength_seed38,1
4,148.25,32.594931946663046,193.95832142857145,7.090295803561654,4,agent.AddAgentConservative+card.CardDistOdd+game_element.TournamentLength+action.GameFoldRestrict_seed38,1
5,101.39575,28.71756868145164,153.42557142857143,7.32319416525115,5,agent.AddAgentConservative+card.CardDistOdd+game_element.TournamentLength+action.GameFoldRestrict+conclude_game.Incentive_seed38,1
6,185.13,31.56,201.98,4.5,0,,2
7,172.11475000000002,39.22689815940166,211.39133928571428,4.8972190847305335,1,agent.AddAgentConservative_seed38,2
8,181.8435,39.86740398468212,209.99994642857143,5.10177730068998,2,agent.AddAgentConservative+card.CardDistOdd_seed38,2
9,138.03125,27.10890242128129,212.0133571428572,3.81644061604284,3,agent.AddAgentConservative+card.CardDistOdd+game_element.TournamentLength_seed38,2
10,148.25,32.594931946663046,193.95832142857145,7.090295803561654,4,agent.AddAgentConservative+card.CardDistOdd+game_element.TournamentLength+action.GameFoldRestrict_seed38,2
11,101.39575,28.71756868145164,153.42557142857143,7.32319416525115,5,agent.AddAgentConservative+card.CardDistOdd+game_element.TournamentLength+action.GameFoldRestrict+conclude_game.Incentive_seed38,2
12,185.13,31.56,201.98,4.5,0,,3
13,378.770875,58.69647842799347,318.35717857142856,7.743204555372663,1,conclude_game.LuckySeven_seed81,3
14,907.531625,43.8608543111066,,,2,conclude_game.LuckySeven+agent.AgentExchange_seed81,3
15,657.0,34.96642829336357,,,3,conclude_game.LuckySeven+agent.AgentExchange+action.WealthTax_seed81,3
16,378.5625,22.19415794204252,,,4,conclude_game.LuckySeven+agent.AgentExchange+action.WealthTax+game_element.TournamentLength_seed81,3
17,352.84375,32.916595543339014,,,5,conclude_game.LuckySeven+agent.AgentExchange+action.WealthTax+game_element.TournamentLength+card.CardDistLow_seed81,3
18,185.13,31.56,201.98,4.5,0,,4
19,111.750125,25.56779138883464,212.607125,3.6525416270647857,1,conclude_game.SeatChanging_seed97,4
20,146.25,34.01676103989869,207.642875,4.8577202649490445,2,conclude_game.SeatChanging+game_element.BigBetChange_seed97,4
21,161.25,40.884746544402105,205.5,5.838997717347813,3,conclude_game.SeatChanging+game_element.BigBetChange+action.NoFreeLunch_seed97,4
